Date,ActiveInstallations,Total_hpHeat_diff,Total_hpElectric_diff,Total_boilerHeat_diff,Total_COP,Savings_Gas,CO2_Gas_Saved,CO2_Electricity,Savings_CO2,Savings_CO2_perCIC
7/1/2024,131,504521,97596,52218,5.1695,57.3808,102.137888,21.47112,80.666768,0.615776855
7/2/2024,241,1560512,273766,102923,5.7002,177.4822,315.918267,60.22852,255.689747,1.060953306
7/3/2024,754,7365522,1245517,297929,5.9136,837.7051,1491.115059,274.01374,1217.101319,1.614192731
7/4/2024,651,4988071,811306,253024,6.1482,567.3098,1009.81136,178.48732,831.32404,1.276995453
7/5/2024,680,5824003,905387,227386,6.4326,662.3831,1179.041836,199.18514,979.856696,1.440965729
7/6/2024,521,3480651,550450,143634,6.3233,395.8659,704.641317,121.099,583.542317,1.120042835
7/7/2024,850,7388070,1222433,323719,6.0437,840.2695,1495.679795,268.93526,1226.744535,1.443228865
7/8/2024,717,4628360,750772,178502,6.1648,526.3986,936.989571,165.16984,771.819731,1.076457086
7/9/2024,144,944187,165933,48247,5.6902,107.3855,191.146188,36.50526,154.640928,1.073895335
7/10/2024,82,194669,42099,70319,4.6241,22.1403,39.409817,9.26178,30.148037,0.367658993
7/11/2024,110,357257,76118,62465,4.6935,40.632,72.324988,16.74596,55.579028,0.505263894
7/12/2024,389,2822632,492269,224083,5.7339,321.0272,571.428486,108.29918,463.129306,1.190563768
7/13/2024,641,5772725,948753,331260,6.0845,656.551,1168.660847,208.72566,959.935187,1.497558795
7/14/2024,741,6006083,989215,275631,6.0716,683.0916,1215.90307,217.6273,998.27577,1.347200769
